"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta en PruebaQa App","Observar mensajes de Obligatoriedad","SUCCESS","2019-11-19T23:27:29.083-05:00[America/Bogota]","0.0","40.12"
"Crear cuenta en PruebaQa App","Crear Cuenta Exitosa","SUCCESS","2019-11-19T23:28:10.789-05:00[America/Bogota]","0.0","12.67"
